设备类型：XXX
测量单元名称：呼叫会话统计
服务名,实例,可信度,不可信原因,测量开始时间,测量结束时间,周期(分钟),呼叫请求次数,呼叫请求成功次数,呼叫请求失败次数,呼叫成功率,呼叫失败率,统计峰值,最大并发,x业务请求次数,x业务请求成功次数,x业务请求失败次数
Access-GW,access-node-02,可信,,2026-08-30 18:40:00,2026-08-30 18:45:00,5,1741,1731,10,99.43,0.57,344,243,1065,1061,4
SBC,sbc-node-01,可信,,2026-08-30 18:40:00,2026-08-30 18:45:00,5,1771,1762,9,99.49,0.51,355,248,1103,1096,7
Media-FW,media-node-01,可信,,2026-08-30 18:40:00,2026-08-30 18:45:00,5,1825,1816,9,99.51,0.49,369,257,1155,1152,3
IMS-Core,ims-node-01,可信,,2026-08-30 18:45:00,2026-08-30 18:50:00,5,1457,1450,7,99.52,0.48,285,203,850,847,3
IMS-Core,ims-node-02,可信,,2026-08-30 18:45:00,2026-08-30 18:50:00,5,1503,1497,6,99.60,0.40,298,210,897,891,6
Access-GW,access-node-01,可信,,2026-08-30 18:45:00,2026-08-30 18:50:00,5,1624,1616,8,99.51,0.49,324,229,987,985,2
Access-GW,access-node-02,可信,,2026-08-30 18:45:00,2026-08-30 18:50:00,5,1720,1711,9,99.48,0.52,346,244,1063,1058,5
SBC,sbc-node-01,可信,,2026-08-30 18:45:00,2026-08-30 18:50:00,5,1752,1743,9,99.49,0.51,357,250,1102,1101,1
Media-FW,media-node-01,可信,,2026-08-30 18:45:00,2026-08-30 18:50:00,5,1807,1799,8,99.56,0.44,371,259,1154,1150,4
IMS-Core,ims-node-01,可信,,2026-08-30 18:50:00,2026-08-30 18:55:00,5,1431,1425,6,99.58,0.42,287,204,845,841,4
IMS-Core,ims-node-02,可信,,2026-08-30 18:50:00,2026-08-30 18:55:00,5,1477,1471,6,99.59,0.41,300,212,892,885,7
Access-GW,access-node-01,可信,,2026-08-30 18:50:00,2026-08-30 18:55:00,5,1596,1589,7,99.56,0.44,326,231,981,978,3
Access-GW,access-node-02,可信,,2026-08-30 18:50:00,2026-08-30 18:55:00,5,1690,1682,8,99.53,0.47,348,246,1056,1050,6
SBC,sbc-node-01,可信,,2026-08-30 18:50:00,2026-08-30 18:55:00,5,1724,1716,8,99.54,0.46,359,252,1096,1094,2
Media-FW,media-node-01,可信,,2026-08-30 18:50:00,2026-08-30 18:55:00,5,1780,1772,8,99.55,0.45,374,261,1149,1144,5
IMS-Core,ims-node-01,可信,,2026-08-30 18:55:00,2026-08-30 19:00:00,5,1399,1394,5,99.64,0.36,289,206,837,832,5
IMS-Core,ims-node-02,可信,,2026-08-30 18:55:00,2026-08-30 19:00:00,5,1446,1441,5,99.65,0.35,303,214,885,884,1
Access-GW,access-node-01,可信,,2026-08-30 18:55:00,2026-08-30 19:00:00,5,1562,1556,6,99.62,0.38,328,232,972,968,4
Access-GW,access-node-02,不可信,采样窗口部分回补,2026-08-30 18:55:00,2026-08-30 19:00:00,5,1655,1648,7,99.58,0.42,349,247,1046,1039,7
SBC,sbc-node-01,可信,,2026-08-30 18:55:00,2026-08-30 19:00:00,5,1691,1684,7,99.59,0.41,361,253,1087,1084,3
Media-FW,media-node-01,不可信,采样窗口部分回补,2026-08-30 18:55:00,2026-08-30 19:00:00,5,1747,1740,7,99.60,0.40,376,263,1140,1134,6
IMS-Core,ims-node-01,可信,,2026-08-30 19:00:00,2026-08-30 19:05:00,5,1364,1359,5,99.63,0.37,291,208,827,821,6
IMS-Core,ims-node-02,可信,,2026-08-30 19:00:00,2026-08-30 19:05:00,5,1413,1408,5,99.65,0.35,305,216,876,874,2
Access-GW,access-node-01,可信,,2026-08-30 19:00:00,2026-08-30 19:05:00,5,1526,1520,6,99.61,0.39,330,234,961,956,5
Access-GW,access-node-02,可信,,2026-08-30 19:00:00,2026-08-30 19:05:00,5,1618,1611,7,99.57,0.43,351,248,1035,1034,1
SBC,sbc-node-01,可信,,2026-08-30 19:00:00,2026-08-30 19:05:00,5,1656,1649,7,99.58,0.42,363,255,1077,1073,4
Media-FW,media-node-01,可信,,2026-08-30 19:00:00,2026-08-30 19:05:00,5,1713,1706,7,99.59,0.41,378,264,1131,1124,7
IMS-Core,ims-node-01,可信,,2026-08-30 19:05:00,2026-08-30 19:10:00,5,1332,1326,6,99.55,0.45,294,210,819,812,7
IMS-Core,ims-node-02,可信,,2026-08-30 19:05:00,2026-08-30 19:10:00,5,1382,1377,5,99.64,0.36,308,218,868,865,3
Access-GW,access-node-01,可信,,2026-08-30 19:05:00,2026-08-30 19:10:00,5,1492,1485,7,99.53,0.47,332,236,952,946,6
Access-GW,access-node-02,可信,,2026-08-30 19:05:00,2026-08-30 19:10:00,5,1583,1575,8,99.49,0.51,353,250,1025,1023,2
SBC,sbc-node-01,可信,,2026-08-30 19:05:00,2026-08-30 19:10:00,5,1622,1615,7,99.57,0.43,365,257,1068,1063,5
Media-FW,media-node-01,可信,,2026-08-30 19:05:00,2026-08-30 19:10:00,5,1680,1673,7,99.58,0.42,380,266,1122,1121,1
IMS-Core,ims-node-01,可信,,2026-08-30 19:10:00,2026-08-30 19:15:00,5,1305,1299,6,99.54,0.46,296,173,743,742,1
IMS-Core,ims-node-02,可信,,2026-08-30 19:10:00,2026-08-30 19:15:00,5,1356,1350,6,99.56,0.44,310,181,793,789,4
Access-GW,access-node-01,可信,,2026-08-30 19:10:00,2026-08-30 19:15:00,5,1464,1457,7,99.52,0.48,334,198,876,869,7
Access-GW,access-node-02,可信,,2026-08-30 19:10:00,2026-08-30 19:15:00,5,1553,1545,8,99.48,0.52,354,212,948,945,3
SBC,sbc-node-01,可信,,2026-08-30 19:10:00,2026-08-30 19:15:00,5,1594,1586,8,99.50,0.50,367,219,992,986,6
Media-FW,media-node-01,可信,,2026-08-30 19:10:00,2026-08-30 19:15:00,5,1653,1645,8,99.52,0.48,382,229,1047,1045,2
IMS-Core,ims-node-01,可信,,2026-08-30 19:15:00,2026-08-30 19:20:00,5,1287,1281,6,99.53,0.47,298,174,743,741,2
IMS-Core,ims-node-02,可信,,2026-08-30 19:15:00,2026-08-30 19:20:00,5,1339,1333,6,99.55,0.45,312,183,794,789,5
Access-GW,access-node-01,可信,,2026-08-30 19:15:00,2026-08-30 19:20:00,5,1444,1436,8,99.45,0.55,336,200,875,874,1
Access-GW,access-node-02,可信,,2026-08-30 19:15:00,2026-08-30 19:20:00,5,1532,1523,9,99.41,0.59,356,214,946,942,4
SBC,sbc-node-01,可信,,2026-08-30 19:15:00,2026-08-30 19:20:00,5,1575,1567,8,99.49,0.51,369,221,991,984,7
Media-FW,media-node-01,可信,,2026-08-30 19:15:00,2026-08-30 19:20:00,5,1634,1626,8,99.51,0.49,384,230,1046,1043,3
IMS-Core,ims-node-01,可信,,2026-08-30 19:20:00,2026-08-30 19:25:00,5,1280,1273,7,99.45,0.55,300,176,749,746,3
IMS-Core,ims-node-02,可信,,2026-08-30 19:20:00,2026-08-30 19:25:00,5,1333,1327,6,99.55,0.45,315,185,800,794,6
Access-GW,access-node-01,可信,,2026-08-30 19:20:00,2026-08-30 19:25:00,5,1435,1427,8,99.44,0.56,337,201,879,877,2
Access-GW,access-node-02,可信,,2026-08-30 19:20:00,2026-08-30 19:25:00,5,1522,1513,9,99.41,0.59,358,215,950,945,5
SBC,sbc-node-01,可信,,2026-08-30 19:20:00,2026-08-30 19:25:00,5,1566,1557,9,99.43,0.57,371,222,996,995,1
Media-FW,media-node-01,可信,,2026-08-30 19:20:00,2026-08-30 19:25:00,5,1626,1617,9,99.45,0.55,386,232,1051,1047,4
IMS-Core,ims-node-01,可信,,2026-08-30 19:25:00,2026-08-30 19:30:00,5,1283,1276,7,99.45,0.55,302,178,761,757,4
IMS-Core,ims-node-02,可信,,2026-08-30 19:25:00,2026-08-30 19:30:00,5,1338,1331,7,99.48,0.52,317,187,813,806,7
Access-GW,access-node-01,可信,,2026-08-30 19:25:00,2026-08-30 19:30:00,5,1438,1430,8,99.44,0.56,339,203,891,888,3
Access-GW,access-node-02,可信,,2026-08-30 19:25:00,2026-08-30 19:30:00,5,1523,1514,9,99.41,0.59,359,216,961,955,6
SBC,sbc-node-01,可信,,2026-08-30 19:25:00,2026-08-30 19:30:00,5,1569,1560,9,99.43,0.57,373,224,1008,1006,2
Media-FW,media-node-01,可信,,2026-08-30 19:25:00,2026-08-30 19:30:00,5,1629,1620,9,99.45,0.55,388,234,1063,1058,5
IMS-Core,ims-node-01,可信,,2026-08-30 19:30:00,2026-08-30 19:35:00,5,1210,1203,7,99.42,0.58,304,180,729,724,5
IMS-Core,ims-node-02,可信,,2026-08-30 19:30:00,2026-08-30 19:35:00,5,1265,1258,7,99.45,0.55,319,189,782,781,1
Access-GW,access-node-01,可信,,2026-08-30 19:30:00,2026-08-30 19:35:00,5,1362,1354,8,99.41,0.59,341,204,858,854,4
Access-GW,access-node-02,可信,,2026-08-30 19:30:00,2026-08-30 19:35:00,5,1446,1437,9,99.38,0.62,361,218,927,920,7
SBC,sbc-node-01,可信,,2026-08-30 19:30:00,2026-08-30 19:35:00,5,1494,1485,9,99.40,0.60,375,226,975,972,3
Media-FW,media-node-01,可信,,2026-08-30 19:30:00,2026-08-30 19:35:00,5,1555,1546,9,99.42,0.58,390,236,1031,1025,6
IMS-Core,ims-node-01,可信,,2026-08-30 19:35:00,2026-08-30 19:40:00,5,1233,1226,7,99.43,0.57,307,181,752,746,6
IMS-Core,ims-node-02,可信,,2026-08-30 19:35:00,2026-08-30 19:40:00,5,1290,1283,7,99.46,0.54,322,191,806,804,2
Access-GW,access-node-01,可信,,2026-08-30 19:35:00,2026-08-30 19:40:00,5,1384,1376,8,99.42,0.58,343,206,880,875,5
Access-GW,access-node-02,可信,,2026-08-30 19:35:00,2026-08-30 19:40:00,5,1466,1456,10,99.32,0.68,362,219,948,947,1
SBC,sbc-node-01,可信,,2026-08-30 19:35:00,2026-08-30 19:40:00,5,1516,1507,9,99.41,0.59,376,227,998,994,4
Media-FW,media-node-01,可信,,2026-08-30 19:35:00,2026-08-30 19:40:00,5,1578,1569,9,99.43,0.57,392,237,1054,1047,7
IMS-Core,ims-node-01,可信,,2026-08-30 19:40:00,2026-08-30 19:45:00,5,1262,1255,7,99.45,0.55,241,183,779,772,7
IMS-Core,ims-node-02,可信,,2026-08-30 19:40:00,2026-08-30 19:45:00,5,1320,1313,7,99.47,0.53,256,193,833,830,3
Access-GW,access-node-01,可信,,2026-08-30 19:40:00,2026-08-30 19:45:00,5,1412,1403,9,99.36,0.64,277,207,906,900,6
Access-GW,access-node-02,可信,,2026-08-30 19:40:00,2026-08-30 19:45:00,5,1493,1483,10,99.33,0.67,296,220,974,972,2
SBC,sbc-node-01,可信,,2026-08-30 19:40:00,2026-08-30 19:45:00,5,1544,1534,10,99.35,0.65,310,229,1024,1019,5
Media-FW,media-node-01,可信,,2026-08-30 19:40:00,2026-08-30 19:45:00,5,1606,1597,9,99.44,0.56,326,239,1080,1079,1
IMS-Core,ims-node-01,可信,,2026-08-30 19:45:00,2026-08-30 19:50:00,5,1294,1287,7,99.46,0.54,243,185,737,736,1
IMS-Core,ims-node-02,可信,,2026-08-30 19:45:00,2026-08-30 19:50:00,5,1352,1345,7,99.48,0.52,258,194,791,787,4
Access-GW,access-node-01,可信,,2026-08-30 19:45:00,2026-08-30 19:50:00,5,1442,1433,9,99.38,0.62,279,209,863,856,7
Access-GW,access-node-02,可信,,2026-08-30 19:45:00,2026-08-30 19:50:00,5,1521,1511,10,99.34,0.66,297,222,929,926,3
SBC,sbc-node-01,可信,,2026-08-30 19:45:00,2026-08-30 19:50:00,5,1575,1565,10,99.37,0.63,312,230,981,975,6
Media-FW,media-node-01,可信,,2026-08-30 19:45:00,2026-08-30 19:50:00,5,1637,1627,10,99.39,0.61,328,241,1038,1036,2
IMS-Core,ims-node-01,可信,,2026-08-30 19:50:00,2026-08-30 19:55:00,5,1323,1316,7,99.47,0.53,245,187,764,762,2
IMS-Core,ims-node-02,可信,,2026-08-30 19:50:00,2026-08-30 19:55:00,5,1384,1377,7,99.49,0.51,261,196,819,814,5
Access-GW,access-node-01,可信,,2026-08-30 19:50:00,2026-08-30 19:55:00,5,1470,1461,9,99.39,0.61,280,210,889,888,1
Access-GW,access-node-02,可信,,2026-08-30 19:50:00,2026-08-30 19:55:00,5,1548,1538,10,99.35,0.65,299,223,955,951,4
SBC,sbc-node-01,可信,,2026-08-30 19:50:00,2026-08-30 19:55:00,5,1603,1593,10,99.38,0.62,314,232,1007,1000,7
Media-FW,media-node-01,可信,,2026-08-30 19:50:00,2026-08-30 19:55:00,5,1667,1657,10,99.40,0.60,330,242,1065,1062,3
IMS-Core,ims-node-01,可信,,2026-08-30 19:55:00,2026-08-30 20:00:00,5,1348,1341,7,99.48,0.52,247,188,788,785,3
IMS-Core,ims-node-02,可信,,2026-08-30 19:55:00,2026-08-30 20:00:00,5,1409,1402,7,99.50,0.50,263,198,844,838,6
Access-GW,access-node-01,可信,,2026-08-30 19:55:00,2026-08-30 20:00:00,5,1493,1484,9,99.40,0.60,282,212,913,911,2
Access-GW,access-node-02,可信,,2026-08-30 19:55:00,2026-08-30 20:00:00,5,1570,1560,10,99.36,0.64,300,224,977,972,5
SBC,sbc-node-01,可信,,2026-08-30 19:55:00,2026-08-30 20:00:00,5,1627,1617,10,99.39,0.61,316,234,1031,1030,1
Media-FW,media-node-01,可信,,2026-08-30 19:55:00,2026-08-30 20:00:00,5,1691,1682,9,99.47,0.53,332,244,1088,1084,4
IMS-Core,ims-node-01,可信,,2026-08-30 20:00:00,2026-08-30 20:05:00,5,1364,1357,7,99.49,0.51,249,190,807,803,4
IMS-Core,ims-node-02,可信,,2026-08-30 20:00:00,2026-08-30 20:05:00,5,1427,1420,7,99.51,0.49,266,200,864,857,7
Access-GW,access-node-01,可信,,2026-08-30 20:00:00,2026-08-30 20:05:00,5,1508,1499,9,99.40,0.60,284,213,931,928,3
Access-GW,access-node-02,可信,,2026-08-30 20:00:00,2026-08-30 20:05:00,5,1583,1573,10,99.37,0.63,302,226,995,989,6
SBC,sbc-node-01,可信,,2026-08-30 20:00:00,2026-08-30 20:05:00,5,1642,1633,9,99.45,0.55,318,235,1049,1047,2
Media-FW,media-node-01,可信,,2026-08-30 20:00:00,2026-08-30 20:05:00,5,1707,1698,9,99.47,0.53,334,246,1107,1102,5
IMS-Core,ims-node-01,可信,,2026-08-30 20:05:00,2026-08-30 20:10:00,5,1370,1363,7,99.49,0.51,251,192,820,815,5
IMS-Core,ims-node-02,可信,,2026-08-30 20:05:00,2026-08-30 20:10:00,5,1434,1427,7,99.51,0.49,268,202,878,877,1
Access-GW,access-node-01,可信,,2026-08-30 20:05:00,2026-08-30 20:10:00,5,1512,1504,8,99.47,0.53,286,215,943,939,4
Access-GW,access-node-02,可信,,2026-08-30 20:05:00,2026-08-30 20:10:00,5,1586,1577,9,99.43,0.57,303,227,1007,1000,7
SBC,sbc-node-01,可信,,2026-08-30 20:05:00,2026-08-30 20:10:00,5,1647,1638,9,99.45,0.55,320,237,1062,1059,3
Media-FW,media-node-01,可信,,2026-08-30 20:05:00,2026-08-30 20:10:00,5,1712,1703,9,99.47,0.53,336,247,1120,1114,6
IMS-Core,ims-node-01,可信,,2026-08-30 20:10:00,2026-08-30 20:15:00,5,1365,1359,6,99.56,0.44,253,193,828,822,6
IMS-Core,ims-node-02,可信,,2026-08-30 20:10:00,2026-08-30 20:15:00,5,1429,1423,6,99.58,0.42,270,204,885,883,2
Access-GW,access-node-01,可信,,2026-08-30 20:10:00,2026-08-30 20:15:00,5,1505,1497,8,99.47,0.53,288,216,949,944,5
Access-GW,access-node-02,可信,,2026-08-30 20:10:00,2026-08-30 20:15:00,5,1578,1569,9,99.43,0.57,305,228,1012,1011,1
SBC,sbc-node-01,可信,,2026-08-30 20:10:00,2026-08-30 20:15:00,5,1640,1632,8,99.51,0.49,322,238,1068,1064,4
Media-FW,media-node-01,可信,,2026-08-30 20:10:00,2026-08-30 20:15:00,5,1706,1698,8,99.53,0.47,338,249,1127,1120,7
IMS-Core,ims-node-01,可信,,2026-08-30 20:15:00,2026-08-30 20:20:00,5,1349,1343,6,99.56,0.44,256,156,828,821,7
IMS-Core,ims-node-02,可信,,2026-08-30 20:15:00,2026-08-30 20:20:00,5,1414,1408,6,99.58,0.42,273,167,886,883,3
Access-GW,access-node-01,可信,,2026-08-30 20:15:00,2026-08-30 20:20:00,5,1488,1481,7,99.53,0.47,290,179,950,944,6
Access-GW,access-node-02,可信,,2026-08-30 20:15:00,2026-08-30 20:20:00,5,1559,1551,8,99.49,0.51,307,191,1011,1009,2
SBC,sbc-node-01,可信,,2026-08-30 20:15:00,2026-08-30 20:20:00,5,1623,1615,8,99.51,0.49,324,201,1069,1064,5
Media-FW,media-node-01,可信,,2026-08-30 20:15:00,2026-08-30 20:20:00,5,1690,1682,8,99.53,0.47,341,211,1128,1127,1
IMS-Core,ims-node-01,可信,,2026-08-30 20:20:00,2026-08-30 20:25:00,5,1323,1318,5,99.62,0.38,258,158,754,753,1
IMS-Core,ims-node-02,可信,,2026-08-30 20:20:00,2026-08-30 20:25:00,5,1390,1385,5,99.64,0.36,275,168,813,809,4
Access-GW,access-node-01,可信,,2026-08-30 20:20:00,2026-08-30 20:25:00,5,1461,1455,6,99.59,0.41,291,180,874,867,7
Access-GW,access-node-02,可信,,2026-08-30 20:20:00,2026-08-30 20:25:00,5,1530,1523,7,99.54,0.46,308,192,935,932,3
SBC,sbc-node-01,可信,,2026-08-30 20:20:00,2026-08-30 20:25:00,5,1596,1589,7,99.56,0.44,325,202,993,987,6
Media-FW,media-node-01,可信,,2026-08-30 20:20:00,2026-08-30 20:25:00,5,1664,1657,7,99.58,0.42,343,213,1053,1051,2
IMS-Core,ims-node-01,可信,,2026-08-30 20:25:00,2026-08-30 20:30:00,5,1204,1200,4,99.67,0.33,260,160,696,694,2
IMS-Core,ims-node-02,可信,,2026-08-30 20:25:00,2026-08-30 20:30:00,5,1272,1268,4,99.69,0.31,277,170,756,751,5
Access-GW,access-node-01,可信,,2026-08-30 20:25:00,2026-08-30 20:30:00,5,1340,1335,5,99.63,0.37,293,182,815,814,1
Access-GW,access-node-02,可信,,2026-08-30 20:25:00,2026-08-30 20:30:00,5,1408,1402,6,99.57,0.43,310,193,875,871,4
SBC,sbc-node-01,可信,,2026-08-30 20:25:00,2026-08-30 20:30:00,5,1476,1470,6,99.59,0.41,327,204,935,928,7
Media-FW,media-node-01,可信,,2026-08-30 20:25:00,2026-08-30 20:30:00,5,1544,1538,6,99.61,0.39,345,215,995,992,3
IMS-Core,ims-node-01,可信,,2026-08-30 20:30:00,2026-08-30 20:35:00,5,1169,1135,34,97.09,2.91,262,161,686,683,3
IMS-Core,ims-node-02,可信,,2026-08-30 20:30:00,2026-08-30 20:35:00,5,1239,1201,38,96.93,3.07,279,172,747,741,6
Access-GW,access-node-01,可信,,2026-08-30 20:30:00,2026-08-30 20:35:00,5,1304,1253,51,96.09,3.91,295,183,805,803,2
Access-GW,access-node-02,可信,,2026-08-30 20:30:00,2026-08-30 20:35:00,5,1371,1307,64,95.33,4.67,311,195,864,859,5
SBC,sbc-node-01,可信,,2026-08-30 20:30:00,2026-08-30 20:35:00,5,1440,1371,69,95.21,4.79,329,205,924,923,1
Media-FW,media-node-01,可信,,2026-08-30 20:30:00,2026-08-30 20:35:00,5,1509,1436,73,95.16,4.84,347,216,985,981,4
IMS-Core,ims-node-01,可信,,2026-08-30 20:35:00,2026-08-30 20:40:00,5,1136,1101,35,96.92,3.08,264,163,677,673,4
IMS-Core,ims-node-02,可信,,2026-08-30 20:35:00,2026-08-30 20:40:00,5,1207,1167,40,96.69,3.31,282,174,738,731,7
Access-GW,access-node-01,可信,,2026-08-30 20:35:00,2026-08-30 20:40:00,5,1269,1216,53,95.82,4.18,297,185,795,792,3
Access-GW,access-node-02,可信,,2026-08-30 20:35:00,2026-08-30 20:40:00,5,1335,1270,65,95.13,4.87,313,196,853,847,6
SBC,sbc-node-01,可信,,2026-08-30 20:35:00,2026-08-30 20:40:00,5,1406,1335,71,94.95,5.05,331,207,915,913,2
Media-FW,media-node-01,可信,,2026-08-30 20:35:00,2026-08-30 20:40:00,5,1475,1400,75,94.92,5.08,349,218,975,970,5
IMS-Core,ims-node-01,可信,,2026-08-30 20:40:00,2026-08-30 20:45:00,5,1108,1072,36,96.75,3.25,266,165,671,666,5
IMS-Core,ims-node-02,可信,,2026-08-30 20:40:00,2026-08-30 20:45:00,5,1180,1139,41,96.53,3.47,284,176,733,732,1
Access-GW,access-node-01,可信,,2026-08-30 20:40:00,2026-08-30 20:45:00,5,1240,1186,54,95.65,4.35,299,186,788,784,4
Access-GW,access-node-02,可信,,2026-08-30 20:40:00,2026-08-30 20:45:00,5,1304,1237,67,94.86,5.14,314,197,846,839,7
SBC,sbc-node-01,可信,,2026-08-30 20:40:00,2026-08-30 20:45:00,5,1377,1305,72,94.77,5.23,333,208,908,905,3
Media-FW,media-node-01,可信,,2026-08-30 20:40:00,2026-08-30 20:45:00,5,1447,1371,76,94.75,5.25,351,220,969,963,6
IMS-Core,ims-node-01,可信,,2026-08-30 20:45:00,2026-08-30 20:50:00,5,1088,1050,38,96.51,3.49,268,166,670,664,6
IMS-Core,ims-node-02,可信,,2026-08-30 20:45:00,2026-08-30 20:50:00,5,1161,1119,42,96.38,3.62,287,178,732,730,2
Access-GW,access-node-01,可信,,2026-08-30 20:45:00,2026-08-30 20:50:00,5,1218,1162,56,95.40,4.60,300,188,786,781,5
Access-GW,access-node-02,可信,,2026-08-30 20:45:00,2026-08-30 20:50:00,5,1281,1212,69,94.61,5.39,316,198,843,842,1
SBC,sbc-node-01,可信,,2026-08-30 20:45:00,2026-08-30 20:50:00,5,1356,1282,74,94.54,5.46,335,210,906,902,4
Media-FW,media-node-01,可信,,2026-08-30 20:45:00,2026-08-30 20:50:00,5,1426,1348,78,94.53,5.47,353,221,967,960,7
IMS-Core,ims-node-01,可信,,2026-08-30 20:50:00,2026-08-30 20:55:00,5,1079,1050,29,97.31,2.69,270,168,675,668,7
IMS-Core,ims-node-02,可信,,2026-08-30 20:50:00,2026-08-30 20:55:00,5,1152,1119,33,97.14,2.86,289,180,737,734,3
Access-GW,access-node-01,可信,,2026-08-30 20:50:00,2026-08-30 20:55:00,5,1207,1162,45,96.27,3.73,302,189,789,783,6
Access-GW,access-node-02,可信,,2026-08-30 20:50:00,2026-08-30 20:55:00,5,1268,1212,56,95.58,4.42,317,200,845,843,2
SBC,sbc-node-01,可信,,2026-08-30 20:50:00,2026-08-30 20:55:00,5,1345,1283,62,95.39,4.61,337,212,910,905,5
Media-FW,media-node-01,可信,,2026-08-30 20:50:00,2026-08-30 20:55:00,5,1416,1350,66,95.34,4.66,355,223,972,971,1
IMS-Core,ims-node-01,可信,,2026-08-30 20:55:00,2026-08-30 21:00:00,5,1080,1049,31,97.13,2.87,272,170,615,614,1
IMS-Core,ims-node-02,可信,,2026-08-30 20:55:00,2026-08-30 21:00:00,5,1155,1119,36,96.88,3.12,291,181,679,675,4
Access-GW,access-node-01,可信,,2026-08-30 20:55:00,2026-08-30 21:00:00,5,1208,1161,47,96.11,3.89,304,191,730,723,7
Access-GW,access-node-02,不可信,采样窗口部分回补,2026-08-30 20:55:00,2026-08-30 21:00:00,5,1267,1208,59,95.34,4.66,319,201,785,782,3
SBC,sbc-node-01,可信,,2026-08-30 20:55:00,2026-08-30 21:00:00,5,1346,1281,65,95.17,4.83,339,213,851,845,6
Media-FW,media-node-01,不可信,采样窗口部分回补,2026-08-30 20:55:00,2026-08-30 21:00:00,5,1418,1349,69,95.13,4.87,357,224,913,911,2
IMS-Core,ims-node-01,可信,,2026-08-30 21:00:00,2026-08-30 21:05:00,5,1093,1059,34,96.89,3.11,275,171,633,631,2
IMS-Core,ims-node-02,可信,,2026-08-30 21:00:00,2026-08-30 21:05:00,5,1169,1131,38,96.75,3.25,294,183,697,692,5
Access-GW,access-node-01,可信,,2026-08-30 21:00:00,2026-08-30 21:05:00,5,1219,1169,50,95.90,4.10,306,192,746,745,1
Access-GW,access-node-02,可信,,2026-08-30 21:00:00,2026-08-30 21:05:00,5,1277,1215,62,95.14,4.86,320,202,800,796,4
SBC,sbc-node-01,可信,,2026-08-30 21:00:00,2026-08-30 21:05:00,5,1357,1289,68,94.99,5.01,340,215,867,860,7
Media-FW,media-node-01,可信,,2026-08-30 21:00:00,2026-08-30 21:05:00,5,1430,1358,72,94.97,5.03,359,226,930,927,3
IMS-Core,ims-node-01,可信,,2026-08-30 21:05:00,2026-08-30 21:10:00,5,1115,1078,37,96.68,3.32,209,173,655,652,3
IMS-Core,ims-node-02,可信,,2026-08-30 21:05:00,2026-08-30 21:10:00,5,1192,1151,41,96.56,3.44,228,185,720,714,6
Access-GW,access-node-01,可信,,2026-08-30 21:05:00,2026-08-30 21:10:00,5,1239,1185,54,95.64,4.36,240,194,768,766,2
Access-GW,access-node-02,可信,,2026-08-30 21:05:00,2026-08-30 21:10:00,5,1296,1230,66,94.91,5.09,254,204,821,816,5
SBC,sbc-node-01,可信,,2026-08-30 21:05:00,2026-08-30 21:10:00,5,1378,1306,72,94.78,5.22,274,216,889,888,1
Media-FW,media-node-01,可信,,2026-08-30 21:05:00,2026-08-30 21:10:00,5,1452,1375,77,94.70,5.30,293,228,952,948,4
IMS-Core,ims-node-01,可信,,2026-08-30 21:10:00,2026-08-30 21:15:00,5,1144,1138,6,99.48,0.52,211,175,682,678,4
IMS-Core,ims-node-02,可信,,2026-08-30 21:10:00,2026-08-30 21:15:00,5,1222,1215,7,99.43,0.57,230,187,747,740,7
Access-GW,access-node-01,可信,,2026-08-30 21:10:00,2026-08-30 21:15:00,5,1267,1259,8,99.37,0.63,242,195,794,791,3
Access-GW,access-node-02,可信,,2026-08-30 21:10:00,2026-08-30 21:15:00,5,1322,1313,9,99.32,0.68,255,205,846,840,6
SBC,sbc-node-01,可信,,2026-08-30 21:10:00,2026-08-30 21:15:00,5,1406,1397,9,99.36,0.64,276,218,915,913,2
Media-FW,media-node-01,可信,,2026-08-30 21:10:00,2026-08-30 21:15:00,5,1480,1471,9,99.39,0.61,295,229,978,973,5
IMS-Core,ims-node-01,可信,,2026-08-30 21:15:00,2026-08-30 21:20:00,5,1176,1169,7,99.40,0.60,213,177,710,705,5
IMS-Core,ims-node-02,可信,,2026-08-30 21:15:00,2026-08-30 21:20:00,5,1255,1248,7,99.44,0.56,233,189,776,775,1
Access-GW,access-node-01,可信,,2026-08-30 21:15:00,2026-08-30 21:20:00,5,1297,1289,8,99.38,0.62,243,197,821,817,4
Access-GW,access-node-02,可信,,2026-08-30 21:15:00,2026-08-30 21:20:00,5,1352,1343,9,99.33,0.67,257,206,873,866,7
SBC,sbc-node-01,可信,,2026-08-30 21:15:00,2026-08-30 21:20:00,5,1437,1428,9,99.37,0.63,278,219,943,940,3
Media-FW,media-node-01,可信,,2026-08-30 21:15:00,2026-08-30 21:20:00,5,1511,1502,9,99.40,0.60,297,231,1006,1000,6
IMS-Core,ims-node-01,可信,,2026-08-30 21:20:00,2026-08-30 21:25:00,5,1119,1113,6,99.46,0.54,215,139,687,681,6
IMS-Core,ims-node-02,可信,,2026-08-30 21:20:00,2026-08-30 21:25:00,5,1199,1193,6,99.50,0.50,235,152,754,752,2
Access-GW,access-node-01,可信,,2026-08-30 21:20:00,2026-08-30 21:25:00,5,1239,1232,7,99.44,0.56,245,159,798,793,5
Access-GW,access-node-02,可信,,2026-08-30 21:20:00,2026-08-30 21:25:00,5,1292,1284,8,99.38,0.62,259,169,849,848,1
SBC,sbc-node-01,可信,,2026-08-30 21:20:00,2026-08-30 21:25:00,5,1379,1371,8,99.42,0.58,280,182,920,916,4
